strategy_class,strategy,window_sec,date,title,score,final_margin,winner,question,outcome,loss_requires_goals,line,required_margin,final_total,team,team_goals,loser,spread_side,locked,buy_trades,buy_size,min_price,last_price,net_roi_min_pct,net_roi_last_pct,trades_le_0.95,size_le_0.95,trades_le_0.97,size_le_0.97,trades_le_0.98,size_le_0.98,trades_le_0.99,size_le_0.99,trades_le_0.995,size_le_0.995,trades_le_0.999,size_le_0.999,caution
locked_after_result,btts_yes_locked,180,2026-06-17,Austria vs. Jordan,3-1,2,Austria,Austria vs. Jordan: Both Teams to Score,Yes,999,,,,,,,,True,9,165.47,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,9,165.47,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,btts_yes_locked,180,2026-06-17,Portugal vs. DR Congo,1-1,0,,Portugal vs. DR Congo: Both Teams to Score,Yes,999,,,,,,,,True,8,150.13,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,8,150.13,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,total_over_locked,180,2026-06-17,England vs. Croatia,4-2,2,England,England vs. Croatia: O/U 5.5,Over,999,5.5,,6,,,,,True,17,3139.66,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,17,3139.66,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,team_total_over_locked,180,2026-06-17,Ghana vs. Panama,1-0,1,Ghana,Ghana vs. Panama: Ghana O/U 0.5,Over,999,0.5,,,Ghana,1,,,True,5,633.95,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,5,633.95,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,btts_yes_locked,180,2026-06-17,England vs. Croatia,4-2,2,England,England vs. Croatia: Both Teams to Score,Yes,999,,,,,,,,True,6,812.47,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,6,812.47,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,total_over_locked,180,2026-06-17,Ghana vs. Panama,1-0,1,Ghana,Ghana vs. Panama: O/U 0.5,Over,999,0.5,,1,,,,,True,18,1064.52,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,18,1064.52,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,btts_yes_locked,180,2026-06-18,Uzbekistan vs. Colombia,1-3,2,Colombia,Uzbekistan vs. Colombia: Both Teams to Score,Yes,999,,,,,,,,True,6,1038.53,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,6,1038.53,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,total_over_locked,180,2026-06-18,Czechia vs. South Africa,1-1,0,,Czechia vs. South Africa: O/U 1.5,Over,999,1.5,,2,,,,,True,7,1444.5,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,7,1444.5,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,btts_yes_locked,180,2026-06-18,Czechia vs. South Africa,1-1,0,,Czechia vs. South Africa: Both Teams to Score,Yes,999,,,,,,,,True,21,2106.42,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,21,2106.42,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,team_total_over_locked,180,2026-06-18,Switzerland vs. Bosnia-Herzegovina,4-1,3,Switzerland,Switzerland vs. Bosnia-Herzegovina: Bosnia-Herzegovina O/U 0.5,Over,999,0.5,,,Bosnia-Herzegovina,1,,,True,18,42005.89,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,18,42005.89,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,btts_yes_locked,180,2026-06-18,Switzerland vs. Bosnia-Herzegovina,4-1,3,Switzerland,Switzerland vs. Bosnia and Herzegovina: Both Teams to Score,Yes,999,,,,,,,,True,90,11990.5,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,90,11990.5,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,team_total_over_locked,180,2026-06-18,Canada vs. Qatar,6-0,6,Canada,Canada vs. Qatar: Canada O/U 2.5,Over,999,2.5,,,Canada,6,,,True,1,11.36,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,1,11.36,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,total_over_locked,180,2026-06-18,Canada vs. Qatar,6-0,6,Canada,Canada vs. Qatar: O/U 5.5,Over,999,5.5,,6,,,,,True,10,2760.38,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,10,2760.38,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,total_over_locked,180,2026-06-19,Mexico vs. Korea Republic,1-0,1,Mexico,Mexico vs. Korea Republic: O/U 0.5,Over,999,0.5,,1,,,,,True,3,281.71,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,3,281.71,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,team_total_over_locked,180,2026-06-19,United States vs. Australia,2-0,2,United States,United States vs. Australia: United States O/U 1.5,Over,999,1.5,,,United States,2,,,True,1,150.6,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,1,150.6,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,total_over_locked,180,2026-06-19,United States vs. Australia,2-0,2,United States,United States vs. Australia: O/U 1.5,Over,999,1.5,,2,,,,,True,1,20.0,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,1,20.0,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,total_over_locked,180,2026-06-20,Brazil vs. Haiti,3-0,3,Brazil,Brazil vs. Haiti: O/U 2.5,Over,999,2.5,,3,,,,,True,3,316.27,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,3,316.27,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,team_total_over_locked,180,2026-06-20,Brazil vs. Haiti,3-0,3,Brazil,Brazil vs. Haiti: Brazil O/U 2.5,Over,999,2.5,,,Brazil,3,,,True,3,1383.22,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,3,1383.22,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
